id,name,brand,category,price,image_url,description,key_actives,target_issues,suitable_skin_types,suitable_barrier,vehicle_type,is_fragrance_free,is_alcohol_free,usage_time,clinical_notes
clean-cerave-sa-smoothing-cleanser,SA Smoothing Cleanser,CeraVe,Cleanser,550 บาท,,เจลล้างหน้าผสม Salicylic Acid 0.5% ช่วยผลัดเซลล์ผิวและลดความมัน ลดสิวอุดตัน,"{""Salicylic Acid (BHA)"",Ceramides,Niacinamide}","{Blackheads,Whiteheads,Pores,""Inflammatory acne""}","{oily,combination}","{healthy,mildly_impaired}",Gel,TRUE,TRUE,Both,BHA แบบ Short-contact ช่วยทำความสะอาดรูขุมขนอย่างอ่อนโยน
clean-laroche-effaclar-purifying-gel,Effaclar Purifying Foaming Gel,La Roche-Posay,Cleanser,790 บาท,,เจลล้างหน้าสูตรอ่อนโยนสำหรับผิวมันและเป็นสิวง่าย ขจัดสิ่งสกปรกและลดความมันด้วย Zinc PCA,"{""Zinc PCA"",""Thermal Spring Water""}","{""Inflammatory acne"",Pores,Blackheads}","{oily,combination}","{healthy,mildly_impaired}",Gel,FALSE,TRUE,Both,Zinc PCA ช่วยลดการหลั่งซีบัมและต้านเชื้อแบคทีเรีย
clean-cetaphil-gentle-cleanser,Gentle Skin Cleanser,Cetaphil,Cleanser,395 บาท,,สูตรอ่อนโยนระดับตำนานสำหรับผิวบอบบางแพ้ง่าย ฟื้นบำรุงด้วย Niacinamide และ Panthenol,"{Niacinamide,""Panthenol (Vitamin B5)"",Glycerin}",{Redness},"{dry,combination,oily}","{healthy,mildly_impaired,compromised}",Lotion,TRUE,TRUE,Both,ออกแบบสำหรับผิวไวต่อสัมผัส ไม่ก่อฟองระคายเคือง
toner-paulas-choice-2bha,Skin Perfecting 2% BHA Liquid Exfoliant,Paula's Choice,Toner,1250 บาท,,โทนเนอร์ผลัดเซลล์ผิว Salicylic Acid 2% สลายไขมันอุดตันในรูขุมขน ลดสิวหัวดำหัวขาว,"{""Salicylic Acid (BHA)"",""Green Tea Extract""}","{Blackheads,Whiteheads,Pores,""Inflammatory acne""}","{oily,combination}",{healthy},Liquid,TRUE,TRUE,PM,pH 3.2 - 3.8 ประสิทธิภาพการละลายซีบัมสูง ห้ามใช้ในภาวะเกราะป้องกันผิวพัง
toner-anua-heartleaf-77,Heartleaf 77% Soothing Toner,Anua,Toner,690 บาท,,โทนเนอร์ปลอบประโลมผิวจากสารสกัด Heartleaf 77% ลดการอักเสบ รอยแดง และช่วยให้ผิวสมดุล,"{""Heartleaf Extract"",""Centella Asiatica"",Panthenol}","{Redness,""Inflammatory acne""}","{dry,combination,oily}","{healthy,mildly_impaired,compromised}",Liquid,TRUE,TRUE,Both,ลดอุณหภูมิผิวและยับยั้งสารอักเสบ เหมาะกับผิวบอบบางแสบแดง
toner-hada-labo-premium-whitening,Premium Whitening Lotion,Hada Labo,Toner,580 บาท,,โลชั่นน้ำตบสูตรพรีเมียม ผสาน Tranexamic Acid เพื่อผิวกระจ่างใสและลดเลือนจุดด่างดำ,"{""Tranexamic Acid"",""Vitamin C Derivative (MAP)"",""Hyaluronic Acid""}","{""Pigmentation & Dark spots"",Redness}","{dry,combination,oily}","{healthy,mildly_impaired}",Liquid,TRUE,TRUE,Both,Tranexamic Acid ลดวงจรการเกิดฝ้าและรอยดำหลังการอักเสบ
toner-cosrx-propolis-synergy,Full Fit Propolis Synergy Toner,COSRX,Toner,620 บาท,,โทนเนอร์สารสกัดโพรโพลิสเข้มข้น 72.6% เติมความชุ่มชื้น ฟื้นฟูผิวเหนื่อยล้า และต้านอนุมูลอิสระ,"{""Propolis Extract"",""Honey Extract"",Panthenol}","{Wrinkles,Redness}","{dry,combination}","{healthy,mildly_impaired}",Liquid,TRUE,TRUE,Both,เติมสารอาหารและสารต้านอนุมูลอิสระ ช่วยให้ผิวอิ่มฟู
cream-laroche-cicaplast-b5-plus,Cicaplast Baume B5+,La Roche-Posay,Cream,850 บาท,,บาล์มปลอบประโลมผิวสูตรฟื้นบำรุงเข้มข้น ผสาน Madecassoside และวิตามิน B5 5%,"{""Panthenol (Vitamin B5) 5%"",""Centella Asiatica (Madecassoside)"",""Zinc PCA""}","{Redness,""Inflammatory acne""}","{dry,combination}","{healthy,mildly_impaired,compromised}",Balm,TRUE,TRUE,Both,ฟื้นฟูเกราะป้องกันผิวและลดอาการแสบลอกฉับพลัน
cream-cerave-moisturizing-cream,Moisturizing Cream,CeraVe,Cream,790 บาท,,ครีมบำรุงผิวสูตรเข้มข้น ผสานเซราไมด์ 3 ชนิดและไฮยาลูโรนิค ล็อคความชุ่มชื้นยาวนาน 24 ชั่วโมง,"{""Ceramides (3:1:1 Matrix)"",Cholesterol,""Hyaluronic Acid""}","{Wrinkles,Redness}",{dry},"{healthy,mildly_impaired,compromised}",Cream,TRUE,TRUE,Both,เนื้อสัมผัส Occlusive เหมาะสำหรับคนผิวแห้งมาก
cream-aestura-atobarrier-365,Atobarrier 365 Cream,AESTURA,Cream,990 บาท,,ครีมเซราไมด์แคปซูลเสริมเกราะป้องกันผิว เลียนแบบสัดส่วนไขมันธรรมชาติ Ceramide:Cholesterol:Fatty Acids,"{""Ceramides + Cholesterol + Fatty Acids (3:1:1)"",Squalane,Allantoin}","{Redness,Wrinkles}","{dry,combination}","{healthy,mildly_impaired,compromised}",Cream,TRUE,TRUE,Both,Lipid Matrix Repair มาตรฐานทองคำ อัตราส่วน 3:1:1 ซ่อมแซมโครงสร้างผิว
cream-eucerin-pro-acne-a-i-clearing,Pro ACNE Solution A.I. Clearing Treatment,Eucerin,Cream,1100 บาท,,ครีมจัดการหัวสิวและสิวอุดตันถึงต้นตอด้วย 10% Hydroxy Complex (AHA BHA PHA),"{""Salicylic Acid (BHA)"",""AHA (Glycolic Acid)"",PHA,""Licochalcone A""}","{Whiteheads,Blackheads,""Inflammatory acne"",Pores}","{oily,combination}",{healthy},Cream,TRUE,TRUE,PM,ผลัดเซลล์ผิวอย่างครอบคลุม ลดการสะสมของไขมันในรูขุมขน
sun-laroche-anthelios-uvmune-400,Anthelios UVMune 400 Invisible Fluid SPF50+,La Roche-Posay,Sunscreen,1450 บาท,,กันแดดเนื้อฟลูอิดบางเบา ปกป้องผิวขั้นสุดครอบคลุม Ultra-long UVA ด้วยฟิลเตอร์ Mexoryl 400,"{""Mexoryl 400"",""Netlock Technology"",""Vitamin E""}","{""Pigmentation & Dark spots"",Wrinkles}","{dry,combination,oily}","{healthy,mildly_impaired}",Fluid,TRUE,FALSE,AM,ป้องกันรอยดำลึกและชะลอการสลายของคอลลาเจนจากแสงแดด
sun-mizumi-uv-water-serum,UV Water Serum SPF50+ PA++++,MizuMi,Sunscreen,890 บาท,,ครีมกันแดดสูตรน้ำ 100% Non-chemical อ่อนโยนสูงสุด ไม่เกิดความร้อนสะสม,"{""Zinc Oxide"",""Titanium Dioxide"",""Yuki Extract""}","{Redness,""Inflammatory acne"",""Pigmentation & Dark spots""}","{dry,combination,oily}","{healthy,mildly_impaired,compromised}",Fluid,TRUE,TRUE,AM,100% Physical Sunscreen สะท้อนรังสี UV เหมาะที่สุดสำหรับผิวแพ้ง่ายมาก
sun-eucerin-sun-dry-touch-acne-oil-control,Sun Dry Touch Oil Control SPF50+,Eucerin,Sunscreen,1400 บาท,,ครีมกันแดดคุมมันสำหรับผิวเป็นสิวง่ายด้วย L-Carnitine ลดความมันยาวนาน 8 ชั่วโมง,"{""L-Carnitine"",""Licochalcone A"",""Glycyrrhetinic Acid""}","{""Inflammatory acne"",Pores,""Pigmentation & Dark spots""}","{oily,combination}","{healthy,mildly_impaired}",Gel,TRUE,TRUE,AM,เนื้อ Dry Touch ไม่อุดตันรูขุมขนและควบคุมความมันได้อย่างมีประสิทธิภาพ
sun-anessa-perfect-uv-mild-milk,Perfect UV Sunscreen Mild Milk SPF50+ PA++++,Aessa,Sunscreen,1050 บาท,,กันแดดน้ำนมสูตรอ่อนโยน สำหรับผิวบอบบางแพ้ง่าย ปราศจากแอลกอฮอล์ น้ำหอม และพาราเบน,"{""Zinc Oxide"",""Titanium Dioxide"",""Peony Root Extract""}","{Redness,Wrinkles}","{dry,combination}","{healthy,mildly_impaired,compromised}",Fluid,TRUE,TRUE,AM,Smooth Protect กระจายอนุภาคกันแดดระดับนาโน อ่อนโยนต่อผิวที่ไวต่อสิ่งเร้า
